n,K_true,separation,event_rate,n_reps,n_events_mean,event_rate_mean,K_sel_accuracy,K_sel_mean,K_over_rate,K_under_rate,ARI_n_defined,ARI_mean,ARI_sd,beta_rmse_mean,cindex_full_mean,cindex_cv_mean,cindex_cox1_mean,cindex_gain_mean,gamma_mean,converge_rate
117,1,high,0.25,50,28.3,0.242,0.74,1.38,0.26,0,0,NA,NA,NA,0.68,0.649,0.637,0.043,0.42,1
117,1,high,0.44,50,52,0.444,0.78,1.22,0.22,0,0,NA,NA,NA,0.677,0.657,0.67,0.007,0.48,1
117,1,low,0.25,50,29,0.248,0.74,1.4,0.26,0,0,NA,NA,NA,0.642,0.644,0.618,0.024,0.32,1
117,1,low,0.44,50,51.5,0.44,0.84,1.2,0.16,0,0,NA,NA,NA,0.654,0.645,0.658,-0.004,0.52,1
117,1,med,0.25,50,28.7,0.245,0.56,1.58,0.44,0,0,NA,NA,NA,0.676,0.642,0.646,0.03,0.52,1
117,1,med,0.44,50,51.4,0.44,0.84,1.18,0.16,0,0,NA,NA,NA,0.68,0.661,0.694,-0.014,0.44,1
117,2,high,0.25,50,29.2,0.25,0.28,1.4,0.06,0.66,14,0.587,0.141,0.367,0.733,0.692,0.678,0.056,0.26,1
117,2,high,0.44,50,51.6,0.441,0.3,1.46,0.08,0.62,15,0.63,0.112,0.326,0.675,0.658,0.628,0.047,0.26,1
117,2,low,0.25,50,27.5,0.235,0.26,1.46,0.1,0.64,13,0.022,0.034,0.333,0.707,0.671,0.657,0.05,0.44,1
117,2,low,0.44,50,51.4,0.439,0.22,1.34,0.06,0.72,11,0.045,0.056,0.315,0.662,0.643,0.645,0.017,0.52,1
117,2,med,0.25,50,29.3,0.251,0.26,1.38,0.06,0.68,13,0.235,0.071,0.324,0.678,0.654,0.654,0.025,0.38,1
117,2,med,0.44,50,51.8,0.443,0.2,1.28,0.04,0.76,10,0.274,0.089,0.315,0.692,0.646,0.627,0.065,0.42,1
117,3,high,0.25,50,29.8,0.255,0.04,1.74,0,0.96,2,0.364,0.112,0.452,0.722,0.691,0.562,0.16,0.19,1
117,3,high,0.44,50,50.6,0.433,0.04,1.88,0,0.96,2,0.629,0.017,0.455,0.719,0.697,0.558,0.161,0.16,1
117,3,low,0.25,50,29.7,0.254,0.06,1.4,0,0.94,3,0.059,0.03,0.332,0.647,0.61,0.596,0.051,0.46,1
117,3,low,0.44,50,50.9,0.435,0.06,1.26,0,0.94,3,0.078,0.038,0.333,0.656,0.635,0.642,0.014,0.46,1
117,3,med,0.25,50,28,0.239,0.08,1.64,0,0.92,4,0.257,0.061,0.372,0.701,0.668,0.627,0.075,0.27,1
117,3,med,0.44,50,51.3,0.438,0.06,1.7,0,0.94,3,0.217,0.085,0.362,0.713,0.665,0.605,0.108,0.3,1
250,1,high,0.25,50,63.2,0.253,0.9,1.1,0.1,0,0,NA,NA,NA,0.709,0.682,0.694,0.015,0.32,1
250,1,high,0.44,50,109.9,0.44,1,1,0,0,0,NA,NA,NA,0.693,0.676,0.711,-0.018,0.3,1
250,1,low,0.25,50,62.8,0.251,0.84,1.18,0.16,0,0,NA,NA,NA,0.697,0.675,0.662,0.035,0.34,1
250,1,low,0.44,50,110.9,0.444,0.94,1.1,0.06,0,0,NA,NA,NA,0.711,0.684,0.722,-0.012,0.28,1
250,1,med,0.25,50,62.4,0.25,0.84,1.2,0.16,0,0,NA,NA,NA,0.7,0.669,0.692,0.008,0.28,1
250,1,med,0.44,50,109.6,0.438,0.98,1.02,0.02,0,0,NA,NA,NA,0.71,0.686,0.72,-0.01,0.14,1
