n,K_true,separation,event_rate_target,pattern,n_reps,n_events_mean,event_rate_mean,K_sel_accuracy,K_sel_mean,K_over_rate,K_under_rate,ARI_all_mean,ARI_all_sd,ARI_conditional_n,ARI_conditional_mean,ARI_conditional_sd,beta_rmse_conditional_mean,cindex_full_mean,cindex_cv_mean,cindex_cox1_mean,cindex_gain_mean,gamma_mean,min_cluster_prop_mean,min_eff_events_mean,beta_sep_mean,converge_rate
117,1,high,0.25,disjoint,20,27.1,0.232,0.65,1.35,0.35,0,NA,NA,0,NA,NA,NA,0.816,0.766,0.824,-0.009,0.74,0.789,20.98,Inf,1
117,1,high,0.25,signflip,20,31.1,0.266,0.65,1.4,0.35,0,NA,NA,0,NA,NA,NA,0.797,0.743,0.774,0.023,0.35,0.781,23.61,Inf,1
117,1,high,0.44,disjoint,20,52.6,0.45,0.7,1.5,0.3,0,NA,NA,0,NA,NA,NA,0.78,0.749,0.797,-0.017,0.36,0.786,40.72,Inf,1
117,1,high,0.44,signflip,20,52,0.444,0.6,1.65,0.4,0,NA,NA,0,NA,NA,NA,0.796,0.771,0.798,-0.002,0.28,0.708,37.44,Inf,1
117,1,low,0.25,disjoint,20,30.6,0.261,0.65,1.35,0.35,0,NA,NA,0,NA,NA,NA,0.606,0.617,0.586,0.02,0.22,0.787,24.2,Inf,1
117,1,low,0.25,signflip,20,28.8,0.246,0.85,1.15,0.15,0,NA,NA,0,NA,NA,NA,0.624,0.611,0.613,0.011,0.39,0.92,26.34,Inf,1
117,1,low,0.44,disjoint,20,51.8,0.442,0.65,1.6,0.35,0,NA,NA,0,NA,NA,NA,0.679,0.636,0.618,0.061,0.55,0.746,38.26,Inf,1
117,1,low,0.44,signflip,20,51.2,0.438,0.75,1.4,0.25,0,NA,NA,0,NA,NA,NA,0.64,0.624,0.605,0.036,0.39,0.813,42.07,Inf,1
117,1,med,0.25,disjoint,20,30.5,0.261,0.7,1.3,0.3,0,NA,NA,0,NA,NA,NA,0.725,0.652,0.666,0.059,0.56,0.823,24.41,Inf,1
117,1,med,0.25,signflip,20,27.6,0.236,0.8,1.2,0.2,0,NA,NA,0,NA,NA,NA,0.704,0.657,0.675,0.029,0.38,0.889,24.13,Inf,1
117,1,med,0.44,disjoint,20,51.8,0.443,0.65,1.55,0.35,0,NA,NA,0,NA,NA,NA,0.699,0.668,0.657,0.043,0.41,0.756,38.88,Inf,1
117,1,med,0.44,signflip,20,51.6,0.441,0.75,1.5,0.25,0,NA,NA,0,NA,NA,NA,0.736,0.692,0.683,0.053,0.32,0.804,41.91,Inf,1
117,2,high,0.25,disjoint,20,28.8,0.246,0.3,1.3,0,0.7,0.101,0.168,6,0.335,0.111,0.537,0.713,0.665,0.612,0.101,0.66,0.836,23.77,Inf,1
117,2,high,0.25,signflip,20,29.2,0.25,0.25,1.25,0,0.75,0.12,0.218,5,0.479,0.105,0.705,0.668,0.646,0.573,0.095,0.74,0.861,23.76,Inf,1
117,2,high,0.44,disjoint,20,51,0.436,0.3,1.5,0.1,0.6,0.182,0.24,6,0.485,0.07,0.485,0.742,0.696,0.659,0.083,0.38,0.75,38.41,Inf,1
117,2,high,0.44,signflip,20,52.5,0.448,0.3,2.1,0.4,0.3,0.249,0.183,6,0.407,0.103,0.675,0.712,0.67,0.566,0.146,0.71,0.544,27.26,Inf,1
117,2,low,0.25,disjoint,20,30.1,0.257,0.15,1.15,0,0.85,-0.001,0.002,3,-0.004,0.004,0.315,0.62,0.591,0.554,0.066,0.36,0.918,27.67,Inf,1
117,2,low,0.25,signflip,20,30.9,0.264,0.3,1.3,0,0.7,0.012,0.025,6,0.04,0.032,0.371,0.561,0.564,0.543,0.018,0.19,0.812,25.27,Inf,1
117,2,low,0.44,disjoint,20,51.1,0.437,0.25,1.35,0.05,0.7,0.005,0.013,5,0.014,0.019,0.298,0.631,0.622,0.598,0.034,0.51,0.824,41.48,Inf,1
117,2,low,0.44,signflip,20,49.7,0.425,0.2,1.5,0.15,0.65,0.005,0.011,4,0.011,0.016,0.363,0.561,0.569,0.533,0.028,0.51,0.774,37.66,Inf,1
117,2,med,0.25,disjoint,20,29.9,0.255,0.5,1.5,0,0.5,0.077,0.087,10,0.154,0.053,0.4,0.694,0.677,0.64,0.054,0.76,0.709,20.75,Inf,1
117,2,med,0.25,signflip,20,30.8,0.263,0.1,1.1,0,0.9,0.014,0.044,2,0.142,0.037,0.501,0.569,0.582,0.58,-0.011,0.26,0.943,29.26,Inf,1
117,2,med,0.44,disjoint,20,51.5,0.441,0.1,2.1,0.5,0.4,0.078,0.087,2,0.266,0.051,0.397,0.682,0.633,0.586,0.096,0.6,0.563,29.96,Inf,1
117,2,med,0.44,signflip,20,50.5,0.432,0.05,1.55,0.25,0.7,0.049,0.079,1,0.214,NA,0.51,0.6,0.577,0.569,0.031,0.9,0.78,39.32,Inf,1
117,3,high,0.25,disjoint,20,30,0.256,0.05,1.3,0,0.95,0.11,0.198,1,0.492,NA,0.597,0.659,0.605,0.565,0.094,0.46,0.852,24.85,Inf,1
117,3,high,0.25,signflip,20,28,0.239,0,1.25,0,1,0.096,0.173,0,NA,NA,NA,0.683,0.647,0.586,0.097,0.44,0.863,24.16,Inf,1
117,3,high,0.44,disjoint,20,51.4,0.439,0.15,1.55,0,0.85,0.166,0.224,3,0.466,0.175,0.45,0.706,0.658,0.627,0.079,0.5,0.748,38.79,Inf,1
117,3,high,0.44,signflip,20,50,0.428,0.3,1.85,0,0.7,0.215,0.207,6,0.387,0.106,0.734,0.668,0.674,0.598,0.07,0.41,0.627,30.22,Inf,1
117,3,low,0.25,disjoint,20,29.6,0.253,0.15,1.5,0,0.85,0.022,0.04,3,0.036,0.062,0.33,0.598,0.606,0.575,0.023,0.46,0.769,22.21,Inf,1
117,3,low,0.25,signflip,20,27.9,0.238,0,1.2,0,1,0.01,0.024,0,NA,NA,NA,0.577,0.58,0.525,0.051,0.22,0.877,24.28,Inf,1
117,3,low,0.44,disjoint,20,51.6,0.441,0.25,1.75,0,0.75,0.033,0.041,5,0.056,0.045,0.303,0.598,0.578,0.583,0.015,0.34,0.676,33.97,Inf,1
117,3,low,0.44,signflip,20,50,0.427,0.3,1.6,0,0.7,0.009,0.019,6,0.031,0.025,0.368,0.602,0.569,0.561,0.041,0.6,0.763,37.99,Inf,1
117,3,med,0.25,disjoint,20,28.5,0.244,0,1.45,0,1,0.118,0.136,0,NA,NA,NA,0.648,0.648,0.54,0.107,0.38,0.725,20.7,Inf,1
117,3,med,0.25,signflip,20,26.8,0.229,0.05,1.45,0,0.95,0.102,0.132,1,0.246,NA,0.498,0.646,0.646,0.558,0.088,0.55,0.766,18.54,Inf,1
117,3,med,0.44,disjoint,20,51.9,0.443,0.2,1.6,0,0.8,0.099,0.13,4,0.204,0.042,0.447,0.639,0.597,0.544,0.095,0.36,0.738,38.05,Inf,1
117,3,med,0.44,signflip,20,52.5,0.449,0.15,1.5,0,0.85,0.063,0.103,3,0.096,0.048,0.52,0.623,0.595,0.57,0.052,0.35,0.768,40.06,Inf,1
250,1,high,0.25,disjoint,20,61,0.244,0.9,1.15,0.1,0,NA,NA,0,NA,NA,NA,0.811,0.788,0.823,-0.012,0.28,0.934,56.54,Inf,1
250,1,high,0.25,signflip,20,62,0.248,0.75,1.35,0.25,0,NA,NA,0,NA,NA,NA,0.808,0.777,0.817,-0.009,0.28,0.841,52.02,Inf,1
250,1,high,0.44,disjoint,20,109,0.436,1,1,0,0,NA,NA,0,NA,NA,NA,0.791,0.762,0.803,-0.012,0.22,1,109.05,Inf,1
250,1,high,0.44,signflip,20,110.2,0.441,1,1,0,0,NA,NA,0,NA,NA,NA,0.787,0.774,0.809,-0.022,0.07,1,110.15,Inf,1
250,1,low,0.25,disjoint,20,63.2,0.253,0.4,1.9,0.6,0,NA,NA,0,NA,NA,NA,0.676,0.643,0.615,0.061,0.41,0.614,38.1,Inf,1
250,1,low,0.25,signflip,20,62.4,0.249,0.65,1.5,0.35,0,NA,NA,0,NA,NA,NA,0.647,0.638,0.595,0.052,0.58,0.768,46.8,Inf,1
250,1,low,0.44,disjoint,20,109.6,0.438,0.95,1.05,0.05,0,NA,NA,0,NA,NA,NA,0.681,0.641,0.675,0.006,0.29,0.975,106.72,Inf,1
250,1,low,0.44,signflip,20,109.8,0.439,0.85,1.25,0.15,0,NA,NA,0,NA,NA,NA,0.692,0.649,0.668,0.024,0.35,0.891,98.61,Inf,1
250,1,med,0.25,disjoint,20,60.8,0.243,0.7,1.4,0.3,0,NA,NA,0,NA,NA,NA,0.742,0.688,0.666,0.076,0.41,0.817,49.71,Inf,1
250,1,med,0.25,signflip,20,61,0.244,0.8,1.4,0.2,0,NA,NA,0,NA,NA,NA,0.7,0.689,0.698,0.001,0.35,0.856,52.77,Inf,1
250,1,med,0.44,disjoint,20,107.7,0.431,0.9,1.1,0.1,0,NA,NA,0,NA,NA,NA,0.745,0.719,0.754,-0.009,0.16,0.945,102.31,Inf,1
250,1,med,0.44,signflip,20,108,0.432,0.95,1.05,0.05,0,NA,NA,0,NA,NA,NA,0.733,0.711,0.743,-0.01,0.12,0.973,105.04,Inf,1
250,2,high,0.25,disjoint,20,60.8,0.243,0.8,2,0.1,0.1,0.369,0.142,16,0.426,0.05,0.487,0.799,0.737,0.699,0.1,0.3,0.482,29.29,Inf,1
250,2,high,0.25,signflip,20,61.6,0.246,0.3,2,0.35,0.35,0.242,0.191,6,0.402,0.077,0.699,0.701,0.652,0.564,0.137,0.52,0.575,33.35,Inf,1
250,2,high,0.44,disjoint,20,108.6,0.434,0.95,1.95,0,0.05,0.407,0.12,19,0.428,0.075,0.445,0.804,0.757,0.722,0.082,0.56,0.497,52.79,Inf,1
250,2,high,0.44,signflip,20,108.8,0.435,0.65,1.75,0.05,0.3,0.317,0.22,13,0.449,0.071,0.648,0.712,0.659,0.588,0.124,0.89,0.612,63.39,Inf,1
250,2,low,0.25,disjoint,20,61.8,0.247,0.2,1.6,0.2,0.6,0.018,0.028,4,0.044,0.042,0.293,0.624,0.602,0.584,0.04,0.51,0.743,45.88,Inf,1
250,2,low,0.25,signflip,20,63.8,0.255,0.2,1.8,0.3,0.5,0.017,0.026,4,0.042,0.039,0.364,0.579,0.562,0.544,0.034,0.39,0.668,42.72,Inf,1
250,2,low,0.44,disjoint,20,110.6,0.442,0.15,1.45,0.15,0.7,0.008,0.015,3,0.034,0.014,0.313,0.618,0.608,0.596,0.021,0.31,0.811,89.63,Inf,1
250,2,low,0.44,signflip,20,113.8,0.455,0.1,1.3,0.1,0.8,0.007,0.016,2,0.039,0.021,0.364,0.561,0.56,0.537,0.025,0.5,0.861,97.3,Inf,1
250,2,med,0.25,disjoint,20,61.8,0.247,0.35,1.85,0.25,0.4,0.091,0.084,7,0.172,0.043,0.355,0.728,0.671,0.654,0.075,0.62,0.61,36.65,Inf,1
250,2,med,0.25,signflip,20,61.7,0.247,0.15,1.55,0.2,0.65,0.063,0.094,3,0.22,0.028,0.507,0.648,0.627,0.555,0.093,0.6,0.767,46.73,Inf,1
250,2,med,0.44,disjoint,20,111.2,0.445,0.35,1.55,0.1,0.55,0.09,0.116,7,0.229,0.066,0.327,0.715,0.656,0.684,0.031,0.72,0.738,82.44,Inf,1
250,2,med,0.44,signflip,20,110.8,0.443,0.2,1.6,0.2,0.6,0.087,0.122,4,0.281,0.08,0.439,0.589,0.58,0.544,0.045,0.5,0.749,81.22,Inf,1
