n,K_true,pattern,n_reps,K_sel_accuracy,K_sel_mean,ARI_all_mean,ARI_conditional_n,ARI_conditional_mean,cindex_full_mean,cindex_cox1_mean,cindex_gain_mean,min_cluster_prop_mean,min_eff_events_mean,beta_sep_mean,converge_rate
117,1,disjoint,120,0.667,1.44,NA,0,NA,0.718,0.691,0.026,0.781,31.24,Inf,1
117,1,signflip,120,0.733,1.38,NA,0,NA,0.716,0.691,0.025,0.819,32.58,Inf,1
117,2,disjoint,120,0.267,1.48,0.074,32,0.22,0.68,0.608,0.072,0.767,30.34,Inf,1
117,2,signflip,120,0.2,1.47,0.075,24,0.234,0.612,0.561,0.051,0.786,30.42,Inf,1
117,3,disjoint,120,0.133,1.52,0.092,16,0.193,0.641,0.572,0.069,0.751,29.76,Inf,1
117,3,signflip,120,0.133,1.48,0.083,16,0.19,0.633,0.566,0.067,0.778,29.21,Inf,1
250,1,disjoint,120,0.808,1.27,NA,0,NA,0.741,0.723,0.018,0.881,77.07,Inf,1
250,1,signflip,120,0.833,1.26,NA,0,NA,0.728,0.722,0.006,0.888,77.57,Inf,1
250,2,disjoint,120,0.467,1.73,0.164,56,0.322,0.715,0.657,0.058,0.647,56.11,Inf,1
250,2,signflip,120,0.267,1.67,0.122,32,0.321,0.632,0.555,0.076,0.705,60.79,Inf,1
250,3,disjoint,120,0.183,1.73,0.152,22,0.262,0.663,0.58,0.083,0.664,55.67,Inf,1
250,3,signflip,120,0.067,1.47,0.116,8,0.295,0.645,0.585,0.059,0.768,63.88,Inf,1
500,1,disjoint,120,0.95,1.05,NA,0,NA,0.737,0.74,-0.003,0.972,169.48,Inf,1
500,1,signflip,120,0.95,1.08,NA,0,NA,0.737,0.742,-0.005,0.967,166.39,Inf,1
500,2,disjoint,120,0.5,1.52,0.164,60,0.324,0.728,0.691,0.036,0.726,122.01,Inf,1
500,2,signflip,120,0.392,1.62,0.156,47,0.339,0.638,0.57,0.068,0.705,116.32,Inf,1
500,3,disjoint,120,0.208,1.86,0.194,25,0.359,0.693,0.622,0.071,0.614,105.46,Inf,1
500,3,signflip,120,0.133,1.62,0.157,16,0.369,0.664,0.608,0.055,0.715,117.79,Inf,1
